Date,SKU,Quantity,Category
2023-02-06,ELEC-LAPTOP-001,38,Electronics
2023-02-07,ELEC-LAPTOP-001,36,Electronics
2023-02-08,ELEC-LAPTOP-001,41,Electronics
2023-02-09,ELEC-LAPTOP-001,53,Electronics
2023-02-10,ELEC-LAPTOP-001,83,Electronics
2023-02-11,ELEC-LAPTOP-001,75,Electronics
2023-02-12,ELEC-LAPTOP-001,56,Electronics
2023-02-13,ELEC-LAPTOP-001,37,Electronics
2023-02-14,ELEC-LAPTOP-001,30,Electronics
2023-02-15,ELEC-LAPTOP-001,58,Electronics
2023-02-16,ELEC-LAPTOP-001,60,Electronics
2023-02-17,ELEC-LAPTOP-001,86,Electronics
2023-02-18,ELEC-LAPTOP-001,85,Electronics
2023-02-19,ELEC-LAPTOP-001,52,Electronics
2023-02-20,ELEC-LAPTOP-001,58,Electronics
2023-02-21,ELEC-LAPTOP-001,40,Electronics
2023-02-22,ELEC-LAPTOP-001,39,Electronics
2023-02-23,ELEC-LAPTOP-001,47,Electronics
2023-02-24,ELEC-LAPTOP-001,57,Electronics
2023-02-25,ELEC-LAPTOP-001,61,Electronics
2023-02-26,ELEC-LAPTOP-001,41,Electronics
2023-02-27,ELEC-LAPTOP-001,35,Electronics
2023-02-28,ELEC-LAPTOP-001,45,Electronics
2023-03-01,ELEC-LAPTOP-001,49,Electronics
2023-03-02,ELEC-LAPTOP-001,40,Electronics
2023-03-03,ELEC-LAPTOP-001,48,Electronics
2023-03-04,ELEC-LAPTOP-001,45,Electronics
2023-03-05,ELEC-LAPTOP-001,39,Electronics
2023-03-06,ELEC-LAPTOP-001,41,Electronics
2023-03-07,ELEC-LAPTOP-001,52,Electronics
2023-03-08,ELEC-LAPTOP-001,43,Electronics
2023-03-09,ELEC-LAPTOP-001,50,Electronics
2023-03-10,ELEC-LAPTOP-001,52,Electronics
2023-03-11,ELEC-LAPTOP-001,49,Electronics
2023-03-12,ELEC-LAPTOP-001,50,Electronics
2023-03-13,ELEC-LAPTOP-001,45,Electronics
2023-03-14,ELEC-LAPTOP-001,43,Electronics
2023-03-15,ELEC-LAPTOP-001,53,Electronics
2023-03-16,ELEC-LAPTOP-001,26,Electronics
2023-03-17,ELEC-LAPTOP-001,56,Electronics
2023-03-18,ELEC-LAPTOP-001,55,Electronics
2023-03-19,ELEC-LAPTOP-001,45,Electronics
2023-03-20,ELEC-LAPTOP-001,37,Electronics
2023-03-21,ELEC-LAPTOP-001,30,Electronics
2023-03-22,ELEC-LAPTOP-001,42,Electronics
2023-03-23,ELEC-LAPTOP-001,45,Electronics
2023-03-24,ELEC-LAPTOP-001,61,Electronics
2023-03-25,ELEC-LAPTOP-001,50,Electronics
2023-03-26,ELEC-LAPTOP-001,42,Electronics
2023-03-27,ELEC-LAPTOP-001,34,Electronics
2023-03-28,ELEC-LAPTOP-001,49,Electronics
2023-03-29,ELEC-LAPTOP-001,54,Electronics
2023-03-30,ELEC-LAPTOP-001,48,Electronics
2023-03-31,ELEC-LAPTOP-001,64,Electronics
2023-04-01,ELEC-LAPTOP-001,71,Electronics
2023-04-02,ELEC-LAPTOP-001,66,Electronics
2023-04-03,ELEC-LAPTOP-001,36,Electronics
2023-04-04,ELEC-LAPTOP-001,42,Electronics
2023-04-05,ELEC-LAPTOP-001,38,Electronics
2023-04-06,ELEC-LAPTOP-001,28,Electronics
2023-04-07,ELEC-LAPTOP-001,38,Electronics
2023-04-08,ELEC-LAPTOP-001,56,Electronics
2023-04-09,ELEC-LAPTOP-001,3,Electronics
2023-04-10,ELEC-LAPTOP-001,35,Electronics
2023-04-11,ELEC-LAPTOP-001,34,Electronics
2023-04-12,ELEC-LAPTOP-001,40,Electronics
2023-04-13,ELEC-LAPTOP-001,41,Electronics
2023-04-14,ELEC-LAPTOP-001,44,Electronics
2023-04-15,ELEC-LAPTOP-001,53,Electronics
2023-04-16,ELEC-LAPTOP-001,50,Electronics
2023-04-17,ELEC-LAPTOP-001,47,Electronics
2023-04-18,ELEC-LAPTOP-001,44,Electronics
2023-04-19,ELEC-LAPTOP-001,45,Electronics
2023-04-20,ELEC-LAPTOP-001,43,Electronics
2023-04-21,ELEC-LAPTOP-001,35,Electronics
2023-04-22,ELEC-LAPTOP-001,81,Electronics
2023-04-23,ELEC-LAPTOP-001,72,Electronics
2023-04-24,ELEC-LAPTOP-001,76,Electronics
2023-04-25,ELEC-LAPTOP-001,63,Electronics
2023-04-26,ELEC-LAPTOP-001,68,Electronics
2023-04-27,ELEC-LAPTOP-001,65,Electronics
2023-04-28,ELEC-LAPTOP-001,62,Electronics
2023-04-29,ELEC-LAPTOP-001,63,Electronics
2023-04-30,ELEC-LAPTOP-001,80,Electronics
2023-05-01,ELEC-LAPTOP-001,62,Electronics
2023-05-02,ELEC-LAPTOP-001,1,Electronics
2023-05-03,ELEC-LAPTOP-001,7,Electronics
2023-05-04,ELEC-LAPTOP-001,51,Electronics
2023-05-05,ELEC-LAPTOP-001,54,Electronics
2023-05-06,ELEC-LAPTOP-001,72,Electronics
2023-05-07,ELEC-LAPTOP-001,40,Electronics
2023-05-08,ELEC-LAPTOP-001,33,Electronics
2023-05-09,ELEC-LAPTOP-001,44,Electronics
2023-05-10,ELEC-LAPTOP-001,40,Electronics
2023-05-11,ELEC-LAPTOP-001,33,Electronics
2023-05-12,ELEC-LAPTOP-001,50,Electronics
2023-05-13,ELEC-LAPTOP-001,45,Electronics
2023-05-14,ELEC-LAPTOP-001,51,Electronics
2023-05-15,ELEC-LAPTOP-001,31,Electronics
2023-05-16,ELEC-LAPTOP-001,53,Electronics
2023-05-17,ELEC-LAPTOP-001,38,Electronics
2023-05-18,ELEC-LAPTOP-001,41,Electronics
2023-05-19,ELEC-LAPTOP-001,56,Electronics
2023-05-20,ELEC-LAPTOP-001,44,Electronics
2023-05-21,ELEC-LAPTOP-001,49,Electronics
2023-05-22,ELEC-LAPTOP-001,44,Electronics
2023-05-23,ELEC-LAPTOP-001,33,Electronics
2023-05-24,ELEC-LAPTOP-001,44,Electronics
2023-05-25,ELEC-LAPTOP-001,45,Electronics
2023-05-26,ELEC-LAPTOP-001,56,Electronics
2023-05-27,ELEC-LAPTOP-001,44,Electronics
2023-05-28,ELEC-LAPTOP-001,38,Electronics
2023-05-29,ELEC-LAPTOP-001,40,Electronics
2023-05-30,ELEC-LAPTOP-001,45,Electronics
2023-05-31,ELEC-LAPTOP-001,45,Electronics
2023-06-01,ELEC-LAPTOP-001,45,Electronics
2023-06-02,ELEC-LAPTOP-001,45,Electronics
2023-06-03,ELEC-LAPTOP-001,56,Electronics
2023-06-04,ELEC-LAPTOP-001,50,Electronics
2023-06-05,ELEC-LAPTOP-001,33,Electronics
2023-06-06,ELEC-LAPTOP-001,55,Electronics
2023-06-07,ELEC-LAPTOP-001,46,Electronics
2023-06-08,ELEC-LAPTOP-001,35,Electronics
2023-06-09,ELEC-LAPTOP-001,55,Electronics
2023-06-10,ELEC-LAPTOP-001,46,Electronics
2023-06-11,ELEC-LAPTOP-001,53,Electronics
2023-06-12,ELEC-LAPTOP-001,43,Electronics
2023-06-13,ELEC-LAPTOP-001,38,Electronics
2023-06-14,ELEC-LAPTOP-001,50,Electronics
2023-06-15,ELEC-LAPTOP-001,46,Electronics
2023-06-16,ELEC-LAPTOP-001,84,Electronics
2023-06-17,ELEC-LAPTOP-001,105,Electronics
2023-06-18,ELEC-LAPTOP-001,69,Electronics
2023-06-19,ELEC-LAPTOP-001,32,Electronics
2023-06-20,ELEC-LAPTOP-001,37,Electronics
2023-06-21,ELEC-LAPTOP-001,57,Electronics
2023-06-22,ELEC-LAPTOP-001,64,Electronics
2023-06-23,ELEC-LAPTOP-001,79,Electronics
2023-06-24,ELEC-LAPTOP-001,85,Electronics
2023-06-25,ELEC-LAPTOP-001,54,Electronics
2023-06-26,ELEC-LAPTOP-001,37,Electronics
2023-06-27,ELEC-LAPTOP-001,53,Electronics
2023-06-28,ELEC-LAPTOP-001,42,Electronics
2023-06-29,ELEC-LAPTOP-001,61,Electronics
2023-06-30,ELEC-LAPTOP-001,55,Electronics
2023-07-01,ELEC-LAPTOP-001,57,Electronics
2023-07-02,ELEC-LAPTOP-001,48,Electronics
2023-07-03,ELEC-LAPTOP-001,47,Electronics
2023-07-04,ELEC-LAPTOP-001,67,Electronics
2023-07-05,ELEC-LAPTOP-001,72,Electronics
2023-07-06,ELEC-LAPTOP-001,64,Electronics
2023-07-07,ELEC-LAPTOP-001,62,Electronics
2023-07-08,ELEC-LAPTOP-001,54,Electronics
2023-07-09,ELEC-LAPTOP-001,38,Electronics
2023-07-10,ELEC-LAPTOP-001,31,Electronics
2023-07-11,ELEC-LAPTOP-001,49,Electronics
2023-07-12,ELEC-LAPTOP-001,45,Electronics
2023-07-13,ELEC-LAPTOP-001,35,Electronics
2023-07-14,ELEC-LAPTOP-001,51,Electronics
2023-07-15,ELEC-LAPTOP-001,57,Electronics
2023-07-16,ELEC-LAPTOP-001,41,Electronics
2023-07-17,ELEC-LAPTOP-001,38,Electronics
2023-07-18,ELEC-LAPTOP-001,44,Electronics
2023-07-19,ELEC-LAPTOP-001,36,Electronics
2023-07-20,ELEC-LAPTOP-001,46,Electronics
2023-07-21,ELEC-LAPTOP-001,54,Electronics
2023-07-22,ELEC-LAPTOP-001,63,Electronics
2023-07-23,ELEC-LAPTOP-001,55,Electronics
2023-07-24,ELEC-LAPTOP-001,44,Electronics
2023-07-25,ELEC-LAPTOP-001,56,Electronics
2023-07-26,ELEC-LAPTOP-001,70,Electronics
2023-07-27,ELEC-LAPTOP-001,70,Electronics
2023-07-28,ELEC-LAPTOP-001,81,Electronics
2023-07-29,ELEC-LAPTOP-001,129,Electronics
2023-07-30,ELEC-LAPTOP-001,78,Electronics
2023-07-31,ELEC-LAPTOP-001,43,Electronics
2023-08-01,ELEC-LAPTOP-001,125,Electronics
2023-08-02,ELEC-LAPTOP-001,120,Electronics
2023-08-03,ELEC-LAPTOP-001,104,Electronics
2023-08-04,ELEC-LAPTOP-001,140,Electronics
2023-08-05,ELEC-LAPTOP-001,121,Electronics
2023-08-06,ELEC-LAPTOP-001,116,Electronics
2023-08-07,ELEC-LAPTOP-001,86,Electronics
2023-08-08,ELEC-LAPTOP-001,111,Electronics
2023-08-09,ELEC-LAPTOP-001,147,Electronics
2023-08-10,ELEC-LAPTOP-001,78,Electronics
2023-08-11,ELEC-LAPTOP-001,139,Electronics
2023-08-12,ELEC-LAPTOP-001,124,Electronics
2023-08-13,ELEC-LAPTOP-001,134,Electronics
2023-08-14,ELEC-LAPTOP-001,130,Electronics
2023-08-15,ELEC-LAPTOP-001,199,Electronics
2023-08-16,ELEC-LAPTOP-001,159,Electronics
2023-08-17,ELEC-LAPTOP-001,163,Electronics
2023-08-18,ELEC-LAPTOP-001,223,Electronics
2023-08-19,ELEC-LAPTOP-001,188,Electronics
2023-08-20,ELEC-LAPTOP-001,184,Electronics
2023-08-21,ELEC-LAPTOP-001,132,Electronics
2023-08-22,ELEC-LAPTOP-001,133,Electronics
2023-08-23,ELEC-LAPTOP-001,186,Electronics
2023-08-24,ELEC-LAPTOP-001,146,Electronics
2023-08-25,ELEC-LAPTOP-001,101,Electronics
2023-08-26,ELEC-LAPTOP-001,154,Electronics
2023-08-27,ELEC-LAPTOP-001,111,Electronics
2023-08-28,ELEC-LAPTOP-001,101,Electronics
2023-08-29,ELEC-LAPTOP-001,145,Electronics
2023-08-30,ELEC-LAPTOP-001,161,Electronics
2023-08-31,ELEC-LAPTOP-001,177,Electronics
2023-09-01,ELEC-LAPTOP-001,214,Electronics
2023-09-02,ELEC-LAPTOP-001,168,Electronics
2023-09-03,ELEC-LAPTOP-001,114,Electronics
2023-09-04,ELEC-LAPTOP-001,86,Electronics
2023-09-05,ELEC-LAPTOP-001,99,Electronics
2023-09-06,ELEC-LAPTOP-001,138,Electronics
2023-09-07,ELEC-LAPTOP-001,116,Electronics
2023-09-08,ELEC-LAPTOP-001,102,Electronics
2023-09-09,ELEC-LAPTOP-001,156,Electronics
2023-09-10,ELEC-LAPTOP-001,238,Electronics
2023-09-11,ELEC-LAPTOP-001,161,Electronics
2023-09-12,ELEC-LAPTOP-001,127,Electronics
2023-09-13,ELEC-LAPTOP-001,152,Electronics
2023-09-14,ELEC-LAPTOP-001,130,Electronics
2023-09-15,ELEC-LAPTOP-001,112,Electronics
2023-09-16,ELEC-LAPTOP-001,146,Electronics
2023-09-17,ELEC-LAPTOP-001,134,Electronics
2023-09-18,ELEC-LAPTOP-001,80,Electronics
2023-09-19,ELEC-LAPTOP-001,108,Electronics
2023-09-20,ELEC-LAPTOP-001,56,Electronics
2023-09-21,ELEC-LAPTOP-001,93,Electronics
2023-09-22,ELEC-LAPTOP-001,9,Electronics
2023-09-23,ELEC-LAPTOP-001,111,Electronics
2023-09-24,ELEC-LAPTOP-001,150,Electronics
2023-09-25,ELEC-LAPTOP-001,73,Electronics
2023-09-26,ELEC-LAPTOP-001,102,Electronics
2023-09-27,ELEC-LAPTOP-001,112,Electronics
2023-09-28,ELEC-LAPTOP-001,133,Electronics
2023-09-29,ELEC-LAPTOP-001,99,Electronics
2023-09-30,ELEC-LAPTOP-001,161,Electronics
2023-10-01,ELEC-LAPTOP-001,48,Electronics
2023-10-02,ELEC-LAPTOP-001,31,Electronics
2023-10-03,ELEC-LAPTOP-001,47,Electronics
2023-10-04,ELEC-LAPTOP-001,45,Electronics
2023-10-05,ELEC-LAPTOP-001,40,Electronics
2023-10-06,ELEC-LAPTOP-001,51,Electronics
2023-10-07,ELEC-LAPTOP-001,51,Electronics
2023-10-08,ELEC-LAPTOP-001,49,Electronics
2023-10-09,ELEC-LAPTOP-001,41,Electronics
2023-10-10,ELEC-LAPTOP-001,54,Electronics
2023-10-11,ELEC-LAPTOP-001,35,Electronics
2023-10-12,ELEC-LAPTOP-001,4,Electronics
2023-10-13,ELEC-LAPTOP-001,35,Electronics
2023-10-14,ELEC-LAPTOP-001,53,Electronics
2023-10-15,ELEC-LAPTOP-001,52,Electronics
2023-10-16,ELEC-LAPTOP-001,39,Electronics
2023-10-17,ELEC-LAPTOP-001,39,Electronics
2023-10-18,ELEC-LAPTOP-001,0,Electronics
2023-10-19,ELEC-LAPTOP-001,40,Electronics
2023-10-20,ELEC-LAPTOP-001,46,Electronics
2023-10-21,ELEC-LAPTOP-001,93,Electronics
2023-10-22,ELEC-LAPTOP-001,76,Electronics
2023-10-23,ELEC-LAPTOP-001,50,Electronics
2023-10-24,ELEC-LAPTOP-001,74,Electronics
2023-10-25,ELEC-LAPTOP-001,69,Electronics
2023-10-26,ELEC-LAPTOP-001,74,Electronics
2023-10-27,ELEC-LAPTOP-001,83,Electronics
2023-10-28,ELEC-LAPTOP-001,48,Electronics
2023-10-29,ELEC-LAPTOP-001,66,Electronics
2023-10-30,ELEC-LAPTOP-001,62,Electronics
2023-10-31,ELEC-LAPTOP-001,72,Electronics
2023-11-01,ELEC-LAPTOP-001,109,Electronics
2023-11-02,ELEC-LAPTOP-001,112,Electronics
2023-11-03,ELEC-LAPTOP-001,150,Electronics
2023-11-04,ELEC-LAPTOP-001,125,Electronics
2023-11-05,ELEC-LAPTOP-001,131,Electronics
2023-11-06,ELEC-LAPTOP-001,90,Electronics
2023-11-07,ELEC-LAPTOP-001,106,Electronics
2023-11-08,ELEC-LAPTOP-001,128,Electronics
2023-11-09,ELEC-LAPTOP-001,123,Electronics
2023-11-10,ELEC-LAPTOP-001,142,Electronics
2023-11-11,ELEC-LAPTOP-001,164,Electronics
2023-11-12,ELEC-LAPTOP-001,121,Electronics
2023-11-13,ELEC-LAPTOP-001,103,Electronics
2023-11-14,ELEC-LAPTOP-001,105,Electronics
2023-11-15,ELEC-LAPTOP-001,115,Electronics
2023-11-16,ELEC-LAPTOP-001,108,Electronics
2023-11-17,ELEC-LAPTOP-001,128,Electronics
2023-11-18,ELEC-LAPTOP-001,150,Electronics
2023-11-19,ELEC-LAPTOP-001,106,Electronics
2023-11-20,ELEC-LAPTOP-001,123,Electronics
2023-11-21,ELEC-LAPTOP-001,93,Electronics
2023-11-22,ELEC-LAPTOP-001,108,Electronics
2023-11-23,ELEC-LAPTOP-001,155,Electronics
2023-11-24,ELEC-LAPTOP-001,170,Electronics
2023-11-25,ELEC-LAPTOP-001,542,Electronics
2023-11-26,ELEC-LAPTOP-001,418,Electronics
2023-11-27,ELEC-LAPTOP-001,252,Electronics
2023-11-28,ELEC-LAPTOP-001,447,Electronics
2023-11-29,ELEC-LAPTOP-001,111,Electronics
2023-11-30,ELEC-LAPTOP-001,99,Electronics
2023-12-01,ELEC-LAPTOP-001,145,Electronics
2023-12-02,ELEC-LAPTOP-001,134,Electronics
2023-12-03,ELEC-LAPTOP-001,106,Electronics
2023-12-04,ELEC-LAPTOP-001,89,Electronics
2023-12-05,ELEC-LAPTOP-001,117,Electronics
2023-12-06,ELEC-LAPTOP-001,101,Electronics
2023-12-07,ELEC-LAPTOP-001,96,Electronics
2023-12-08,ELEC-LAPTOP-001,131,Electronics
2023-12-09,ELEC-LAPTOP-001,143,Electronics
2023-12-10,ELEC-LAPTOP-001,112,Electronics
2023-12-11,ELEC-LAPTOP-001,87,Electronics
2023-12-12,ELEC-LAPTOP-001,114,Electronics
2023-12-13,ELEC-LAPTOP-001,86,Electronics
2023-12-14,ELEC-LAPTOP-001,130,Electronics
2023-12-15,ELEC-LAPTOP-001,169,Electronics
2023-12-16,ELEC-LAPTOP-001,200,Electronics
2023-12-17,ELEC-LAPTOP-001,228,Electronics
2023-12-18,ELEC-LAPTOP-001,206,Electronics
2023-12-19,ELEC-LAPTOP-001,224,Electronics
2023-12-20,ELEC-LAPTOP-001,215,Electronics
2023-12-21,ELEC-LAPTOP-001,198,Electronics
2023-12-22,ELEC-LAPTOP-001,259,Electronics
2023-12-23,ELEC-LAPTOP-001,289,Electronics
2023-12-24,ELEC-LAPTOP-001,209,Electronics
2023-12-25,ELEC-LAPTOP-001,147,Electronics
2023-12-26,ELEC-LAPTOP-001,145,Electronics
2023-12-27,ELEC-LAPTOP-001,11,Electronics
2023-12-28,ELEC-LAPTOP-001,135,Electronics
2023-12-29,ELEC-LAPTOP-001,125,Electronics
2023-12-30,ELEC-LAPTOP-001,146,Electronics
2023-12-31,ELEC-LAPTOP-001,134,Electronics
2023-01-01,ELEC-PHONE-001,116,Electronics
2023-01-02,ELEC-PHONE-001,98,Electronics
2023-01-03,ELEC-PHONE-001,112,Electronics
2023-01-04,ELEC-PHONE-001,114,Electronics
2023-01-05,ELEC-PHONE-001,99,Electronics
2023-01-06,ELEC-PHONE-001,129,Electronics
2023-01-07,ELEC-PHONE-001,151,Electronics
2023-01-08,ELEC-PHONE-001,150,Electronics
2023-01-09,ELEC-PHONE-001,109,Electronics
2023-01-10,ELEC-PHONE-001,149,Electronics
2023-01-11,ELEC-PHONE-001,99,Electronics
2023-01-12,ELEC-PHONE-001,127,Electronics
2023-01-13,ELEC-PHONE-001,133,Electronics
2023-01-14,ELEC-PHONE-001,187,Electronics
2023-01-15,ELEC-PHONE-001,108,Electronics
2023-01-16,ELEC-PHONE-001,83,Electronics
2023-01-17,ELEC-PHONE-001,102,Electronics
2023-01-18,ELEC-PHONE-001,76,Electronics
2023-01-19,ELEC-PHONE-001,103,Electronics
2023-01-20,ELEC-PHONE-001,114,Electronics
2023-01-21,ELEC-PHONE-001,144,Electronics
2023-01-22,ELEC-PHONE-001,130,Electronics
2023-01-23,ELEC-PHONE-001,122,Electronics
2023-01-24,ELEC-PHONE-001,128,Electronics
2023-01-25,ELEC-PHONE-001,103,Electronics
2023-01-26,ELEC-PHONE-001,97,Electronics
2023-01-27,ELEC-PHONE-001,139,Electronics
2023-01-28,ELEC-PHONE-001,113,Electronics
2023-01-29,ELEC-PHONE-001,158,Electronics
2023-01-30,ELEC-PHONE-001,112,Electronics
2023-01-31,ELEC-PHONE-001,104,Electronics
2023-02-01,ELEC-PHONE-001,83,Electronics
2023-02-02,ELEC-PHONE-001,135,Electronics
2023-02-03,ELEC-PHONE-001,127,Electronics
2023-02-04,ELEC-PHONE-001,167,Electronics
2023-02-05,ELEC-PHONE-001,94,Electronics
2023-02-06,ELEC-PHONE-001,87,Electronics
2023-02-07,ELEC-PHONE-001,135,Electronics
2023-02-08,ELEC-PHONE-001,136,Electronics
2023-02-09,ELEC-PHONE-001,126,Electronics
2023-02-10,ELEC-PHONE-001,213,Electronics
2023-02-11,ELEC-PHONE-001,160,Electronics
2023-02-12,ELEC-PHONE-001,145,Electronics
2023-02-13,ELEC-PHONE-001,102,Electronics
2023-02-14,ELEC-PHONE-001,109,Electronics
2023-02-15,ELEC-PHONE-001,125,Electronics
2023-02-16,ELEC-PHONE-001,93,Electronics
2023-02-17,ELEC-PHONE-001,100,Electronics
2023-02-18,ELEC-PHONE-001,168,Electronics
2023-02-19,ELEC-PHONE-001,130,Electronics
2023-02-20,ELEC-PHONE-001,85,Electronics
2023-02-21,ELEC-PHONE-001,139,Electronics
2023-02-22,ELEC-PHONE-001,115,Electronics
2023-02-23,ELEC-PHONE-001,133,Electronics
2023-02-24,ELEC-PHONE-001,131,Electronics
2023-02-25,ELEC-PHONE-001,185,Electronics
2023-02-26,ELEC-PHONE-001,157,Electronics
2023-02-27,ELEC-PHONE-001,92,Electronics
2023-02-28,ELEC-PHONE-001,129,Electronics
2023-03-01,ELEC-PHONE-001,124,Electronics
2023-03-02,ELEC-PHONE-001,136,Electronics
2023-03-03,ELEC-PHONE-001,166,Electronics
2023-03-04,ELEC-PHONE-001,233,Electronics
2023-03-05,ELEC-PHONE-001,216,Electronics
2023-03-06,ELEC-PHONE-001,106,Electronics
2023-03-07,ELEC-PHONE-001,139,Electronics
2023-03-08,ELEC-PHONE-001,117,Electronics
2023-03-09,ELEC-PHONE-001,162,Electronics
2023-03-10,ELEC-PHONE-001,216,Electronics
2023-03-11,ELEC-PHONE-001,260,Electronics
2023-03-12,ELEC-PHONE-001,188,Electronics
2023-03-13,ELEC-PHONE-001,119,Electronics
2023-03-14,ELEC-PHONE-001,89,Electronics
2023-03-15,ELEC-PHONE-001,84,Electronics
2023-03-16,ELEC-PHONE-001,168,Electronics
2023-03-17,ELEC-PHONE-001,206,Electronics
2023-03-18,ELEC-PHONE-001,211,Electronics
2023-03-19,ELEC-PHONE-001,128,Electronics
2023-03-20,ELEC-PHONE-001,95,Electronics
2023-03-21,ELEC-PHONE-001,91,Electronics
2023-03-22,ELEC-PHONE-001,124,Electronics
2023-03-23,ELEC-PHONE-001,119,Electronics
2023-03-24,ELEC-PHONE-001,167,Electronics
2023-03-25,ELEC-PHONE-001,196,Electronics
2023-03-26,ELEC-PHONE-001,157,Electronics
2023-03-27,ELEC-PHONE-001,143,Electronics
2023-03-28,ELEC-PHONE-001,194,Electronics
2023-03-29,ELEC-PHONE-001,173,Electronics
2023-03-30,ELEC-PHONE-001,219,Electronics
2023-03-31,ELEC-PHONE-001,144,Electronics
2023-04-01,ELEC-PHONE-001,162,Electronics
2023-04-02,ELEC-PHONE-001,148,Electronics
2023-04-03,ELEC-PHONE-001,90,Electronics
2023-04-04,ELEC-PHONE-001,106,Electronics
2023-04-05,ELEC-PHONE-001,86,Electronics
2023-04-06,ELEC-PHONE-001,122,Electronics
2023-04-07,ELEC-PHONE-001,97,Electronics
2023-04-08,ELEC-PHONE-001,126,Electronics
2023-04-09,ELEC-PHONE-001,128,Electronics
2023-04-10,ELEC-PHONE-001,94,Electronics
2023-04-11,ELEC-PHONE-001,109,Electronics
2023-04-12,ELEC-PHONE-001,123,Electronics
2023-04-13,ELEC-PHONE-001,126,Electronics
2023-04-14,ELEC-PHONE-001,120,Electronics
2023-04-15,ELEC-PHONE-001,129,Electronics
2023-04-16,ELEC-PHONE-001,119,Electronics
2023-04-17,ELEC-PHONE-001,63,Electronics
2023-04-18,ELEC-PHONE-001,87,Electronics
2023-04-19,ELEC-PHONE-001,136,Electronics
2023-04-20,ELEC-PHONE-001,141,Electronics
2023-04-21,ELEC-PHONE-001,125,Electronics
2023-04-22,ELEC-PHONE-001,154,Electronics
2023-04-23,ELEC-PHONE-001,130,Electronics
2023-04-24,ELEC-PHONE-001,211,Electronics
2023-04-25,ELEC-PHONE-001,199,Electronics
2023-04-26,ELEC-PHONE-001,167,Electronics
2023-04-27,ELEC-PHONE-001,146,Electronics
2023-04-28,ELEC-PHONE-001,148,Electronics
2023-04-29,ELEC-PHONE-001,219,Electronics
2023-04-30,ELEC-PHONE-001,110,Electronics
2023-05-01,ELEC-PHONE-001,76,Electronics
2023-05-02,ELEC-PHONE-001,102,Electronics
2023-05-03,ELEC-PHONE-001,95,Electronics
2023-05-04,ELEC-PHONE-001,142,Electronics
2023-05-05,ELEC-PHONE-001,148,Electronics
2023-05-06,ELEC-PHONE-001,141,Electronics
2023-05-07,ELEC-PHONE-001,152,Electronics
2023-05-08,ELEC-PHONE-001,97,Electronics
2023-05-09,ELEC-PHONE-001,99,Electronics
2023-05-10,ELEC-PHONE-001,139,Electronics
2023-05-11,ELEC-PHONE-001,122,Electronics
2023-05-12,ELEC-PHONE-001,110,Electronics
2023-05-13,ELEC-PHONE-001,138,Electronics
2023-05-14,ELEC-PHONE-001,108,Electronics
2023-05-15,ELEC-PHONE-001,76,Electronics
2023-05-16,ELEC-PHONE-001,129,Electronics
2023-05-17,ELEC-PHONE-001,146,Electronics
2023-05-18,ELEC-PHONE-001,89,Electronics
2023-05-19,ELEC-PHONE-001,141,Electronics
2023-05-20,ELEC-PHONE-001,128,Electronics
2023-05-21,ELEC-PHONE-001,116,Electronics
2023-05-22,ELEC-PHONE-001,88,Electronics
2023-05-23,ELEC-PHONE-001,99,Electronics
2023-05-24,ELEC-PHONE-001,114,Electronics
