Date,Product_Code,Warehouse,Sales_Quantity,Category,Unit_Price,Unit_Cost,Revenue
2022-02-27,ELEC-LAPTOP-001,NYC-01,45,Electronics,225.07,92.29,10128.05
2022-02-28,ELEC-LAPTOP-001,NYC-01,38,Electronics,219.33,92.29,8334.57
2022-03-01,ELEC-LAPTOP-001,NYC-01,49,Electronics,222.91,92.29,10922.5
2022-03-02,ELEC-LAPTOP-001,NYC-01,40,Electronics,219.29,92.29,8771.48
2022-03-03,ELEC-LAPTOP-001,NYC-01,42,Electronics,239.77,92.29,10070.52
2022-03-04,ELEC-LAPTOP-001,NYC-01,41,Electronics,230.17,92.29,9436.9
2022-03-05,ELEC-LAPTOP-001,NYC-01,44,Electronics,241.06,92.29,10606.44
2022-03-06,ELEC-LAPTOP-001,NYC-01,53,Electronics,230.8,92.29,12232.59
2022-03-07,ELEC-LAPTOP-001,NYC-01,44,Electronics,224.15,92.29,9862.4
2022-03-08,ELEC-LAPTOP-001,NYC-01,43,Electronics,235.64,92.29,10132.34
2022-03-09,ELEC-LAPTOP-001,NYC-01,50,Electronics,222.72,92.29,11135.79
2022-03-10,ELEC-LAPTOP-001,NYC-01,45,Electronics,226.53,92.29,10193.75
2022-03-11,ELEC-LAPTOP-001,NYC-01,45,Electronics,236.27,92.29,10632.1
2022-03-12,ELEC-LAPTOP-001,NYC-01,57,Electronics,238.22,92.29,13578.61
2022-03-13,ELEC-LAPTOP-001,NYC-01,88,Electronics,225.95,92.29,19883.79
2022-03-14,ELEC-LAPTOP-001,NYC-01,55,Electronics,221.18,92.29,12165.15
2022-03-15,ELEC-LAPTOP-001,NYC-01,80,Electronics,226.78,92.29,18142.53
2022-03-16,ELEC-LAPTOP-001,NYC-01,39,Electronics,238.77,92.29,9311.86
2022-03-17,ELEC-LAPTOP-001,NYC-01,73,Electronics,235.41,92.29,17184.66
2022-03-18,ELEC-LAPTOP-001,NYC-01,76,Electronics,238.88,92.29,18155.19
2022-03-19,ELEC-LAPTOP-001,NYC-01,51,Electronics,227.21,92.29,11587.69
2022-03-20,ELEC-LAPTOP-001,NYC-01,48,Electronics,240.7,92.29,11553.68
2022-03-21,ELEC-LAPTOP-001,NYC-01,25,Electronics,229.73,92.29,5743.19
2022-03-22,ELEC-LAPTOP-001,NYC-01,42,Electronics,229.76,92.29,9649.83
2022-03-23,ELEC-LAPTOP-001,NYC-01,45,Electronics,239.57,92.29,10780.47
2022-03-24,ELEC-LAPTOP-001,NYC-01,53,Electronics,230.26,92.29,12203.66
2022-03-25,ELEC-LAPTOP-001,NYC-01,46,Electronics,236.74,92.29,10889.84
2022-03-26,ELEC-LAPTOP-001,NYC-01,71,Electronics,235.03,92.29,16687.37
2022-03-27,ELEC-LAPTOP-001,NYC-01,66,Electronics,220.14,92.29,14529.1
2022-03-28,ELEC-LAPTOP-001,NYC-01,63,Electronics,232.17,92.29,14626.66
2022-03-29,ELEC-LAPTOP-001,NYC-01,82,Electronics,237.22,92.29,19452.25
2022-03-30,ELEC-LAPTOP-001,NYC-01,72,Electronics,230.86,92.29,16621.9
2022-03-31,ELEC-LAPTOP-001,NYC-01,84,Electronics,225.71,92.29,18959.3
2022-04-01,ELEC-LAPTOP-001,NYC-01,99,Electronics,220.16,92.29,21796.24
2022-04-02,ELEC-LAPTOP-001,NYC-01,75,Electronics,233.51,92.29,17513.47
2022-04-03,ELEC-LAPTOP-001,NYC-01,47,Electronics,225.37,92.29,10592.28
2022-04-04,ELEC-LAPTOP-001,NYC-01,35,Electronics,232.17,92.29,8126.06
2022-04-05,ELEC-LAPTOP-001,NYC-01,38,Electronics,228.12,92.29,8668.44
2022-04-06,ELEC-LAPTOP-001,NYC-01,28,Electronics,234.18,92.29,6556.92
2022-04-07,ELEC-LAPTOP-001,NYC-01,33,Electronics,226.4,92.29,7471.3
2022-04-08,ELEC-LAPTOP-001,NYC-01,78,Electronics,219.3,92.29,17105.19
2022-04-09,ELEC-LAPTOP-001,NYC-01,5,Electronics,238.32,92.29,1191.59
2022-04-10,ELEC-LAPTOP-001,NYC-01,69,Electronics,226.43,92.29,15623.42
2022-04-11,ELEC-LAPTOP-001,NYC-01,43,Electronics,241.26,92.29,10374.31
2022-04-12,ELEC-LAPTOP-001,NYC-01,40,Electronics,224.63,92.29,8985.35
2022-04-13,ELEC-LAPTOP-001,NYC-01,41,Electronics,240.85,92.29,9874.7
2022-04-14,ELEC-LAPTOP-001,NYC-01,38,Electronics,240.11,92.29,9124.11
2022-04-15,ELEC-LAPTOP-001,NYC-01,48,Electronics,220.05,92.29,10562.33
2022-04-16,ELEC-LAPTOP-001,NYC-01,57,Electronics,232.97,92.29,13279.57
2022-04-17,ELEC-LAPTOP-001,NYC-01,61,Electronics,226.67,92.29,13827.08
2022-04-18,ELEC-LAPTOP-001,NYC-01,38,Electronics,236.73,92.29,8995.91
2022-04-19,ELEC-LAPTOP-001,NYC-01,45,Electronics,233.94,92.29,10527.2
2022-04-20,ELEC-LAPTOP-001,NYC-01,43,Electronics,240.22,92.29,10329.48
2022-04-21,ELEC-LAPTOP-001,NYC-01,31,Electronics,221.61,92.29,6869.76
2022-04-22,ELEC-LAPTOP-001,NYC-01,49,Electronics,232.29,92.29,11382.06
2022-04-23,ELEC-LAPTOP-001,NYC-01,55,Electronics,236.28,92.29,12995.38
2022-04-24,ELEC-LAPTOP-001,NYC-01,65,Electronics,219.12,92.29,14243.04
2022-04-25,ELEC-LAPTOP-001,NYC-01,36,Electronics,219.87,92.29,7915.29
2022-04-26,ELEC-LAPTOP-001,NYC-01,45,Electronics,236.22,92.29,10629.69
2022-04-27,ELEC-LAPTOP-001,NYC-01,43,Electronics,226.74,92.29,9749.94
2022-04-28,ELEC-LAPTOP-001,NYC-01,53,Electronics,227.12,92.29,12037.49
2022-04-29,ELEC-LAPTOP-001,NYC-01,88,Electronics,231.36,92.29,20359.69
2022-04-30,ELEC-LAPTOP-001,NYC-01,91,Electronics,232.23,92.29,21132.93
2022-05-01,ELEC-LAPTOP-001,NYC-01,53,Electronics,233.93,92.29,12398.28
2022-05-02,ELEC-LAPTOP-001,NYC-01,1,Electronics,240.13,92.29,240.13
2022-05-03,ELEC-LAPTOP-001,NYC-01,4,Electronics,226.87,92.29,907.49
2022-05-04,ELEC-LAPTOP-001,NYC-01,34,Electronics,235.86,92.29,8019.27
2022-05-05,ELEC-LAPTOP-001,NYC-01,47,Electronics,231.51,92.29,10881.14
2022-05-06,ELEC-LAPTOP-001,NYC-01,66,Electronics,230.49,92.29,15212.46
2022-05-07,ELEC-LAPTOP-001,NYC-01,46,Electronics,227.47,92.29,10463.68
2022-05-08,ELEC-LAPTOP-001,NYC-01,43,Electronics,233.25,92.29,10029.83
2022-05-09,ELEC-LAPTOP-001,NYC-01,37,Electronics,224.06,92.29,8290.24
2022-05-10,ELEC-LAPTOP-001,NYC-01,40,Electronics,220.93,92.29,8837.25
2022-05-11,ELEC-LAPTOP-001,NYC-01,33,Electronics,235.23,92.29,7762.62
2022-05-12,ELEC-LAPTOP-001,NYC-01,66,Electronics,229.79,92.29,15166.32
2022-05-13,ELEC-LAPTOP-001,NYC-01,63,Electronics,227.22,92.29,14314.7
2022-05-14,ELEC-LAPTOP-001,NYC-01,87,Electronics,231.23,92.29,20117.19
2022-05-15,ELEC-LAPTOP-001,NYC-01,62,Electronics,224.34,92.29,13909.08
2022-05-16,ELEC-LAPTOP-001,NYC-01,68,Electronics,224.31,92.29,15252.8
2022-05-17,ELEC-LAPTOP-001,NYC-01,38,Electronics,228.58,92.29,8686.04
2022-05-18,ELEC-LAPTOP-001,NYC-01,41,Electronics,241.22,92.29,9890.1
2022-05-19,ELEC-LAPTOP-001,NYC-01,49,Electronics,224.89,92.29,11019.46
2022-05-20,ELEC-LAPTOP-001,NYC-01,40,Electronics,239.39,92.29,9575.44
2022-05-21,ELEC-LAPTOP-001,NYC-01,56,Electronics,229.61,92.29,12858.3
2022-05-22,ELEC-LAPTOP-001,NYC-01,57,Electronics,221.14,92.29,12605.12
2022-05-23,ELEC-LAPTOP-001,NYC-01,28,Electronics,237.92,92.29,6661.85
2022-05-24,ELEC-LAPTOP-001,NYC-01,44,Electronics,228.71,92.29,10063.35
2022-05-25,ELEC-LAPTOP-001,NYC-01,45,Electronics,238.98,92.29,10753.96
2022-05-26,ELEC-LAPTOP-001,NYC-01,48,Electronics,228.55,92.29,10970.56
2022-05-27,ELEC-LAPTOP-001,NYC-01,40,Electronics,220.34,92.29,8813.66
2022-05-28,ELEC-LAPTOP-001,NYC-01,43,Electronics,234.0,92.29,10061.82
2022-05-29,ELEC-LAPTOP-001,NYC-01,51,Electronics,237.76,92.29,12125.52
2022-05-30,ELEC-LAPTOP-001,NYC-01,38,Electronics,225.67,92.29,8575.41
2022-05-31,ELEC-LAPTOP-001,NYC-01,45,Electronics,226.31,92.29,10183.87
2022-06-01,ELEC-LAPTOP-001,NYC-01,45,Electronics,219.82,92.29,9891.74
2022-06-02,ELEC-LAPTOP-001,NYC-01,39,Electronics,230.78,92.29,9000.57
2022-06-03,ELEC-LAPTOP-001,NYC-01,78,Electronics,238.81,92.29,18627.03
2022-06-04,ELEC-LAPTOP-001,NYC-01,85,Electronics,237.89,92.29,20220.61
2022-06-05,ELEC-LAPTOP-001,NYC-01,64,Electronics,234.68,92.29,15019.67
2022-06-06,ELEC-LAPTOP-001,NYC-01,71,Electronics,239.64,92.29,17014.1
2022-06-07,ELEC-LAPTOP-001,NYC-01,70,Electronics,232.98,92.29,16308.55
2022-06-08,ELEC-LAPTOP-001,NYC-01,53,Electronics,236.56,92.29,12537.91
2022-06-09,ELEC-LAPTOP-001,NYC-01,48,Electronics,230.02,92.29,11040.77
2022-06-10,ELEC-LAPTOP-001,NYC-01,42,Electronics,221.11,92.29,9286.75
2022-06-11,ELEC-LAPTOP-001,NYC-01,61,Electronics,222.94,92.29,13599.51
2022-06-12,ELEC-LAPTOP-001,NYC-01,56,Electronics,221.52,92.29,12404.87
2022-06-13,ELEC-LAPTOP-001,NYC-01,32,Electronics,236.49,92.29,7567.61
2022-06-14,ELEC-LAPTOP-001,NYC-01,50,Electronics,218.93,92.29,10946.4
2022-06-15,ELEC-LAPTOP-001,NYC-01,46,Electronics,231.06,92.29,10628.59
2022-06-16,ELEC-LAPTOP-001,NYC-01,49,Electronics,226.8,92.29,11113.3
2022-06-17,ELEC-LAPTOP-001,NYC-01,64,Electronics,236.79,92.29,15154.77
2022-06-18,ELEC-LAPTOP-001,NYC-01,52,Electronics,231.0,92.29,12012.09
2022-06-19,ELEC-LAPTOP-001,NYC-01,42,Electronics,232.39,92.29,9760.27
2022-06-20,ELEC-LAPTOP-001,NYC-01,32,Electronics,220.31,92.29,7049.77
2022-06-21,ELEC-LAPTOP-001,NYC-01,38,Electronics,225.43,92.29,8566.41
2022-06-22,ELEC-LAPTOP-001,NYC-01,43,Electronics,241.3,92.29,10375.73
2022-06-23,ELEC-LAPTOP-001,NYC-01,45,Electronics,234.84,92.29,10568.01
2022-06-24,ELEC-LAPTOP-001,NYC-01,52,Electronics,230.41,92.29,11981.07
2022-06-25,ELEC-LAPTOP-001,NYC-01,61,Electronics,236.0,92.29,14396.03
2022-06-26,ELEC-LAPTOP-001,NYC-01,48,Electronics,237.25,92.29,11387.79
2022-06-27,ELEC-LAPTOP-001,NYC-01,45,Electronics,220.02,92.29,9900.85
2022-06-28,ELEC-LAPTOP-001,NYC-01,42,Electronics,240.67,92.29,10108.17
2022-06-29,ELEC-LAPTOP-001,NYC-01,61,Electronics,233.09,92.29,14218.24
2022-06-30,ELEC-LAPTOP-001,NYC-01,47,Electronics,228.67,92.29,10747.26
2022-07-01,ELEC-LAPTOP-001,NYC-01,52,Electronics,233.95,92.29,12165.6
2022-07-02,ELEC-LAPTOP-001,NYC-01,55,Electronics,226.24,92.29,12443.28
2022-07-03,ELEC-LAPTOP-001,NYC-01,92,Electronics,238.5,92.29,21942.07
2022-07-04,ELEC-LAPTOP-001,NYC-01,86,Electronics,236.26,92.29,20317.98
2022-07-05,ELEC-LAPTOP-001,NYC-01,108,Electronics,233.03,92.29,25166.96
2022-07-06,ELEC-LAPTOP-001,NYC-01,96,Electronics,222.51,92.29,21360.55
2022-07-07,ELEC-LAPTOP-001,NYC-01,81,Electronics,240.53,92.29,19482.94
2022-07-08,ELEC-LAPTOP-001,NYC-01,75,Electronics,228.27,92.29,17119.96
2022-07-09,ELEC-LAPTOP-001,NYC-01,65,Electronics,239.25,92.29,15551.48
2022-07-10,ELEC-LAPTOP-001,NYC-01,41,Electronics,219.6,92.29,9003.5
2022-07-11,ELEC-LAPTOP-001,NYC-01,42,Electronics,221.18,92.29,9289.45
2022-07-12,ELEC-LAPTOP-001,NYC-01,45,Electronics,221.84,92.29,9982.82
2022-07-13,ELEC-LAPTOP-001,NYC-01,35,Electronics,222.11,92.29,7773.78
2022-07-14,ELEC-LAPTOP-001,NYC-01,44,Electronics,225.74,92.29,9932.53
2022-07-15,ELEC-LAPTOP-001,NYC-01,53,Electronics,234.63,92.29,12435.15
2022-07-16,ELEC-LAPTOP-001,NYC-01,47,Electronics,226.28,92.29,10634.98
2022-07-17,ELEC-LAPTOP-001,NYC-01,49,Electronics,239.95,92.29,11757.42
2022-07-18,ELEC-LAPTOP-001,NYC-01,37,Electronics,238.89,92.29,8838.96
2022-07-19,ELEC-LAPTOP-001,NYC-01,36,Electronics,237.76,92.29,8559.53
2022-07-20,ELEC-LAPTOP-001,NYC-01,46,Electronics,224.08,92.29,10307.83
2022-07-21,ELEC-LAPTOP-001,NYC-01,47,Electronics,232.92,92.29,10947.17
2022-07-22,ELEC-LAPTOP-001,NYC-01,58,Electronics,230.98,92.29,13397.02
2022-07-23,ELEC-LAPTOP-001,NYC-01,63,Electronics,221.2,92.29,13935.64
2022-07-24,ELEC-LAPTOP-001,NYC-01,38,Electronics,225.28,92.29,8560.77
2022-07-25,ELEC-LAPTOP-001,NYC-01,48,Electronics,230.58,92.29,11068.04
2022-07-26,ELEC-LAPTOP-001,NYC-01,70,Electronics,229.87,92.29,16091.17
2022-07-27,ELEC-LAPTOP-001,NYC-01,70,Electronics,222.2,92.29,15553.96
2022-07-28,ELEC-LAPTOP-001,NYC-01,70,Electronics,239.96,92.29,16797.45
2022-07-29,ELEC-LAPTOP-001,NYC-01,119,Electronics,221.87,92.29,26402.24
2022-07-30,ELEC-LAPTOP-001,NYC-01,89,Electronics,233.46,92.29,20778.17
2022-07-31,ELEC-LAPTOP-001,NYC-01,84,Electronics,234.89,92.29,19730.36
2022-08-01,ELEC-LAPTOP-001,NYC-01,159,Electronics,232.23,92.29,36924.72
2022-08-02,ELEC-LAPTOP-001,NYC-01,180,Electronics,237.69,92.29,42783.58
2022-08-03,ELEC-LAPTOP-001,NYC-01,156,Electronics,231.28,92.29,36079.17
2022-08-04,ELEC-LAPTOP-001,NYC-01,183,Electronics,237.29,92.29,43423.91
2022-08-05,ELEC-LAPTOP-001,NYC-01,111,Electronics,218.98,92.29,24306.34
2022-08-06,ELEC-LAPTOP-001,NYC-01,132,Electronics,219.37,92.29,28956.68
2022-08-07,ELEC-LAPTOP-001,NYC-01,111,Electronics,233.07,92.29,25870.27
2022-08-08,ELEC-LAPTOP-001,NYC-01,94,Electronics,231.58,92.29,21768.43
2022-08-09,ELEC-LAPTOP-001,NYC-01,147,Electronics,233.29,92.29,34293.32
2022-08-10,ELEC-LAPTOP-001,NYC-01,78,Electronics,235.95,92.29,18404.09
2022-08-11,ELEC-LAPTOP-001,NYC-01,120,Electronics,227.9,92.29,27347.73
2022-08-12,ELEC-LAPTOP-001,NYC-01,114,Electronics,233.01,92.29,26563.02
2022-08-13,ELEC-LAPTOP-001,NYC-01,152,Electronics,229.77,92.29,34924.98
2022-08-14,ELEC-LAPTOP-001,NYC-01,168,Electronics,232.74,92.29,39099.84
2022-08-15,ELEC-LAPTOP-001,NYC-01,169,Electronics,224.98,92.29,38021.8
2022-08-16,ELEC-LAPTOP-001,NYC-01,159,Electronics,240.31,92.29,38209.17
2022-08-17,ELEC-LAPTOP-001,NYC-01,163,Electronics,229.42,92.29,37395.91
2022-08-18,ELEC-LAPTOP-001,NYC-01,194,Electronics,236.82,92.29,45942.48
2022-08-19,ELEC-LAPTOP-001,NYC-01,173,Electronics,234.07,92.29,40493.43
2022-08-20,ELEC-LAPTOP-001,NYC-01,209,Electronics,225.16,92.29,47058.33
2022-08-21,ELEC-LAPTOP-001,NYC-01,171,Electronics,220.0,92.29,37620.17
2022-08-22,ELEC-LAPTOP-001,NYC-01,113,Electronics,219.7,92.29,24826.2
2022-08-23,ELEC-LAPTOP-001,NYC-01,186,Electronics,228.43,92.29,42487.38
2022-08-24,ELEC-LAPTOP-001,NYC-01,146,Electronics,229.45,92.29,33500.11
2022-08-25,ELEC-LAPTOP-001,NYC-01,88,Electronics,223.01,92.29,19625.12
2022-08-26,ELEC-LAPTOP-001,NYC-01,141,Electronics,232.27,92.29,32749.5
2022-08-27,ELEC-LAPTOP-001,NYC-01,127,Electronics,225.51,92.29,28639.46
2022-08-28,ELEC-LAPTOP-001,NYC-01,131,Electronics,234.83,92.29,30763.13
2022-08-29,ELEC-LAPTOP-001,NYC-01,82,Electronics,235.2,92.29,19286.15
2022-08-30,ELEC-LAPTOP-001,NYC-01,107,Electronics,238.11,92.29,25477.33
2022-08-31,ELEC-LAPTOP-001,NYC-01,118,Electronics,240.74,92.29,28407.26
2022-09-01,ELEC-LAPTOP-001,NYC-01,124,Electronics,221.33,92.29,27444.82
2022-09-02,ELEC-LAPTOP-001,NYC-01,155,Electronics,226.84,92.29,35160.13
2022-09-03,ELEC-LAPTOP-001,NYC-01,195,Electronics,231.23,92.29,45090.15
2022-09-04,ELEC-LAPTOP-001,NYC-01,168,Electronics,225.66,92.29,37910.5
2022-09-05,ELEC-LAPTOP-001,NYC-01,126,Electronics,229.04,92.29,28859.57
2022-09-06,ELEC-LAPTOP-001,NYC-01,208,Electronics,224.47,92.29,46689.94
2022-09-07,ELEC-LAPTOP-001,NYC-01,174,Electronics,224.02,92.29,38979.75
2022-09-08,ELEC-LAPTOP-001,NYC-01,133,Electronics,220.55,92.29,29333.0
2022-09-09,ELEC-LAPTOP-001,NYC-01,143,Electronics,224.99,92.29,32174.07
2022-09-10,ELEC-LAPTOP-001,NYC-01,181,Electronics,227.15,92.29,41114.57
2022-09-11,ELEC-LAPTOP-001,NYC-01,139,Electronics,232.47,92.29,32312.81
2022-09-12,ELEC-LAPTOP-001,NYC-01,72,Electronics,224.03,92.29,16130.13
2022-09-13,ELEC-LAPTOP-001,NYC-01,101,Electronics,238.21,92.29,24059.21
2022-09-14,ELEC-LAPTOP-001,NYC-01,130,Electronics,221.99,92.29,28859.24
2022-09-15,ELEC-LAPTOP-001,NYC-01,98,Electronics,225.85,92.29,22133.2
2022-09-16,ELEC-LAPTOP-001,NYC-01,134,Electronics,231.6,92.29,31034.41
2022-09-17,ELEC-LAPTOP-001,NYC-01,153,Electronics,225.51,92.29,34503.13
2022-09-18,ELEC-LAPTOP-001,NYC-01,104,Electronics,235.86,92.29,24529.61
2022-09-19,ELEC-LAPTOP-001,NYC-01,92,Electronics,229.77,92.29,21139.29
2022-09-20,ELEC-LAPTOP-001,NYC-01,56,Electronics,230.15,92.29,12888.57
2022-09-21,ELEC-LAPTOP-001,NYC-01,93,Electronics,229.79,92.29,21370.12
2022-09-22,ELEC-LAPTOP-001,NYC-01,8,Electronics,225.41,92.29,1803.32
2022-09-23,ELEC-LAPTOP-001,NYC-01,102,Electronics,218.86,92.29,22323.37
2022-09-24,ELEC-LAPTOP-001,NYC-01,171,Electronics,240.05,92.29,41048.01
2022-09-25,ELEC-LAPTOP-001,NYC-01,94,Electronics,229.94,92.29,21614.35
2022-09-26,ELEC-LAPTOP-001,NYC-01,87,Electronics,240.54,92.29,20926.97
2022-09-27,ELEC-LAPTOP-001,NYC-01,112,Electronics,223.27,92.29,25006.05
2022-09-28,ELEC-LAPTOP-001,NYC-01,200,Electronics,226.43,92.29,45286.81
2022-09-29,ELEC-LAPTOP-001,NYC-01,129,Electronics,219.49,92.29,28313.63
2022-09-30,ELEC-LAPTOP-001,NYC-01,222,Electronics,229.7,92.29,50992.82
2022-10-01,ELEC-LAPTOP-001,NYC-01,55,Electronics,238.6,92.29,13123.08
2022-10-02,ELEC-LAPTOP-001,NYC-01,41,Electronics,233.36,92.29,9567.75
2022-10-03,ELEC-LAPTOP-001,NYC-01,39,Electronics,229.14,92.29,8936.41
2022-10-04,ELEC-LAPTOP-001,NYC-01,45,Electronics,230.66,92.29,10379.61
2022-10-05,ELEC-LAPTOP-001,NYC-01,40,Electronics,237.79,92.29,9511.73
2022-10-06,ELEC-LAPTOP-001,NYC-01,44,Electronics,228.23,92.29,10042.0
2022-10-07,ELEC-LAPTOP-001,NYC-01,47,Electronics,238.6,92.29,11214.39
2022-10-08,ELEC-LAPTOP-001,NYC-01,55,Electronics,235.04,92.29,12927.38
2022-10-09,ELEC-LAPTOP-001,NYC-01,53,Electronics,235.88,92.29,12501.56
2022-10-10,ELEC-LAPTOP-001,NYC-01,46,Electronics,226.73,92.29,10429.75
2022-10-11,ELEC-LAPTOP-001,NYC-01,35,Electronics,227.53,92.29,7963.55
2022-10-12,ELEC-LAPTOP-001,NYC-01,4,Electronics,231.43,92.29,925.72
2022-10-13,ELEC-LAPTOP-001,NYC-01,31,Electronics,222.8,92.29,6906.72
2022-10-14,ELEC-LAPTOP-001,NYC-01,49,Electronics,231.04,92.29,11320.86
2022-10-15,ELEC-LAPTOP-001,NYC-01,59,Electronics,220.01,92.29,12980.82
2022-10-16,ELEC-LAPTOP-001,NYC-01,50,Electronics,229.91,92.29,11495.63
2022-10-17,ELEC-LAPTOP-001,NYC-01,33,Electronics,235.89,92.29,7784.41
2022-10-18,ELEC-LAPTOP-001,NYC-01,0,Electronics,224.75,92.29,0.0
2022-10-19,ELEC-LAPTOP-001,NYC-01,61,Electronics,241.05,92.29,14704.34
2022-10-20,ELEC-LAPTOP-001,NYC-01,60,Electronics,233.96,92.29,14037.63
2022-10-21,ELEC-LAPTOP-001,NYC-01,85,Electronics,221.05,92.29,18789.63
2022-10-22,ELEC-LAPTOP-001,NYC-01,87,Electronics,240.73,92.29,20943.76
