Date,SKU,Quantity
14 Mar 2023,PROD-002,138
15 Mar 2023,PROD-002,133
16 Mar 2023,PROD-002,159
17 Mar 2023,PROD-002,191
18 Mar 2023,PROD-002,199
19 Mar 2023,PROD-002,139
20 Mar 2023,PROD-002,135
21 Mar 2023,PROD-002,139
22 Mar 2023,PROD-002,171
23 Mar 2023,PROD-002,166
24 Mar 2023,PROD-002,167
25 Mar 2023,PROD-002,190
26 Mar 2023,PROD-002,157
27 Mar 2023,PROD-002,135
28 Mar 2023,PROD-002,175
29 Mar 2023,PROD-002,173
30 Mar 2023,PROD-002,202
31 Mar 2023,PROD-002,209
01 Apr 2023,PROD-002,239
02 Apr 2023,PROD-002,210
03 Apr 2023,PROD-002,136
04 Apr 2023,PROD-002,154
05 Apr 2023,PROD-002,131
06 Apr 2023,PROD-002,160
07 Apr 2023,PROD-002,137
08 Apr 2023,PROD-002,186
09 Apr 2023,PROD-002,180
10 Apr 2023,PROD-002,134
11 Apr 2023,PROD-002,156
12 Apr 2023,PROD-002,170
13 Apr 2023,PROD-002,172
14 Apr 2023,PROD-002,174
15 Apr 2023,PROD-002,189
16 Apr 2023,PROD-002,171
17 Apr 2023,PROD-002,104
18 Apr 2023,PROD-002,136
19 Apr 2023,PROD-002,182
20 Apr 2023,PROD-002,186
21 Apr 2023,PROD-002,179
22 Apr 2023,PROD-002,212
23 Apr 2023,PROD-002,182
24 Apr 2023,PROD-002,178
25 Apr 2023,PROD-002,178
26 Apr 2023,PROD-002,158
27 Apr 2023,PROD-002,145
28 Apr 2023,PROD-002,154
29 Apr 2023,PROD-002,204
30 Apr 2023,PROD-002,163
01 May 2023,PROD-002,117
02 May 2023,PROD-002,150
03 May 2023,PROD-002,143
04 May 2023,PROD-002,187
05 May 2023,PROD-002,200
06 May 2023,PROD-002,200
07 May 2023,PROD-002,202
08 May 2023,PROD-002,137
09 May 2023,PROD-002,146
10 May 2023,PROD-002,185
11 May 2023,PROD-002,169
12 May 2023,PROD-002,165
13 May 2023,PROD-002,196
14 May 2023,PROD-002,161
15 May 2023,PROD-002,117
16 May 2023,PROD-002,175
17 May 2023,PROD-002,191
18 May 2023,PROD-002,138
19 May 2023,PROD-002,195
20 May 2023,PROD-002,187
21 May 2023,PROD-002,168
22 May 2023,PROD-002,128
23 May 2023,PROD-002,146
24 May 2023,PROD-002,161
25 May 2023,PROD-002,147
26 May 2023,PROD-002,189
27 May 2023,PROD-002,199
28 May 2023,PROD-002,172
29 May 2023,PROD-002,124
30 May 2023,PROD-002,151
31 May 2023,PROD-002,172
01 Jun 2023,PROD-002,421
02 Jun 2023,PROD-002,416
03 Jun 2023,PROD-002,507
04 Jun 2023,PROD-002,475
05 Jun 2023,PROD-002,284
06 Jun 2023,PROD-002,423
07 Jun 2023,PROD-002,375
08 Jun 2023,PROD-002,424
09 Jun 2023,PROD-002,426
10 Jun 2023,PROD-002,411
11 Jun 2023,PROD-002,370
12 Jun 2023,PROD-002,343
13 Jun 2023,PROD-002,412
14 Jun 2023,PROD-002,365
15 Jun 2023,PROD-002,427
16 Jun 2023,PROD-002,385
17 Jun 2023,PROD-002,498
18 Jun 2023,PROD-002,388
19 Jun 2023,PROD-002,319
20 Jun 2023,PROD-002,403
21 Jun 2023,PROD-002,367
22 Jun 2023,PROD-002,386
23 Jun 2023,PROD-002,508
24 Jun 2023,PROD-002,473
25 Jun 2023,PROD-002,479
26 Jun 2023,PROD-002,303
27 Jun 2023,PROD-002,423
28 Jun 2023,PROD-002,459
29 Jun 2023,PROD-002,302
30 Jun 2023,PROD-002,425
01 Jul 2023,PROD-002,637
02 Jul 2023,PROD-002,519
03 Jul 2023,PROD-002,425
04 Jul 2023,PROD-002,604
05 Jul 2023,PROD-002,602
06 Jul 2023,PROD-002,542
07 Jul 2023,PROD-002,649
08 Jul 2023,PROD-002,588
09 Jul 2023,PROD-002,470
10 Jul 2023,PROD-002,299
11 Jul 2023,PROD-002,382
12 Jul 2023,PROD-002,384
13 Jul 2023,PROD-002,417
14 Jul 2023,PROD-002,442
15 Jul 2023,PROD-002,517
16 Jul 2023,PROD-002,534
17 Jul 2023,PROD-002,371
18 Jul 2023,PROD-002,389
19 Jul 2023,PROD-002,450
20 Jul 2023,PROD-002,385
21 Jul 2023,PROD-002,368
22 Jul 2023,PROD-002,452
23 Jul 2023,PROD-002,359
24 Jul 2023,PROD-002,329
25 Jul 2023,PROD-002,402
26 Jul 2023,PROD-002,469
27 Jul 2023,PROD-002,415
28 Jul 2023,PROD-002,452
29 Jul 2023,PROD-002,544
30 Jul 2023,PROD-002,344
31 Jul 2023,PROD-002,350
01 Aug 2023,PROD-002,433
02 Aug 2023,PROD-002,342
03 Aug 2023,PROD-002,448
04 Aug 2023,PROD-002,478
05 Aug 2023,PROD-002,482
06 Aug 2023,PROD-002,470
07 Aug 2023,PROD-002,419
08 Aug 2023,PROD-002,409
09 Aug 2023,PROD-002,412
10 Aug 2023,PROD-002,383
11 Aug 2023,PROD-002,423
12 Aug 2023,PROD-002,653
13 Aug 2023,PROD-002,485
14 Aug 2023,PROD-002,413
15 Aug 2023,PROD-002,689
16 Aug 2023,PROD-002,732
17 Aug 2023,PROD-002,695
18 Aug 2023,PROD-002,821
19 Aug 2023,PROD-002,736
20 Aug 2023,PROD-002,637
21 Aug 2023,PROD-002,436
22 Aug 2023,PROD-002,519
23 Aug 2023,PROD-002,537
24 Aug 2023,PROD-002,528
25 Aug 2023,PROD-002,486
26 Aug 2023,PROD-002,597
27 Aug 2023,PROD-002,517
28 Aug 2023,PROD-002,343
29 Aug 2023,PROD-002,478
30 Aug 2023,PROD-002,371
31 Aug 2023,PROD-002,352
01 Sep 2023,PROD-002,152
02 Sep 2023,PROD-002,231
03 Sep 2023,PROD-002,188
04 Sep 2023,PROD-002,136
05 Sep 2023,PROD-002,165
06 Sep 2023,PROD-002,142
07 Sep 2023,PROD-002,200
08 Sep 2023,PROD-002,187
09 Sep 2023,PROD-002,203
10 Sep 2023,PROD-002,190
11 Sep 2023,PROD-002,143
12 Sep 2023,PROD-002,164
13 Sep 2023,PROD-002,148
14 Sep 2023,PROD-002,168
15 Sep 2023,PROD-002,220
16 Sep 2023,PROD-002,228
17 Sep 2023,PROD-002,205
18 Sep 2023,PROD-002,129
19 Sep 2023,PROD-002,145
20 Sep 2023,PROD-002,159
21 Sep 2023,PROD-002,162
22 Sep 2023,PROD-002,205
23 Sep 2023,PROD-002,167
24 Sep 2023,PROD-002,204
25 Sep 2023,PROD-002,134
26 Sep 2023,PROD-002,154
27 Sep 2023,PROD-002,144
28 Sep 2023,PROD-002,134
29 Sep 2023,PROD-002,200
30 Sep 2023,PROD-002,202
01 Oct 2023,PROD-002,154
02 Oct 2023,PROD-002,119
03 Oct 2023,PROD-002,155
04 Oct 2023,PROD-002,188
05 Oct 2023,PROD-002,157
06 Oct 2023,PROD-002,157
07 Oct 2023,PROD-002,196
08 Oct 2023,PROD-002,172
09 Oct 2023,PROD-002,100
10 Oct 2023,PROD-002,160
11 Oct 2023,PROD-002,157
12 Oct 2023,PROD-002,172
13 Oct 2023,PROD-002,219
14 Oct 2023,PROD-002,224
15 Oct 2023,PROD-002,172
16 Oct 2023,PROD-002,121
17 Oct 2023,PROD-002,202
18 Oct 2023,PROD-002,162
19 Oct 2023,PROD-002,161
20 Oct 2023,PROD-002,185
21 Oct 2023,PROD-002,205
22 Oct 2023,PROD-002,174
23 Oct 2023,PROD-002,129
24 Oct 2023,PROD-002,152
25 Oct 2023,PROD-002,160
26 Oct 2023,PROD-002,152
27 Oct 2023,PROD-002,172
28 Oct 2023,PROD-002,203
29 Oct 2023,PROD-002,172
30 Oct 2023,PROD-002,157
31 Oct 2023,PROD-002,118
01 Nov 2023,PROD-002,178
02 Nov 2023,PROD-002,181
03 Nov 2023,PROD-002,147
04 Nov 2023,PROD-002,194
05 Nov 2023,PROD-002,170
06 Nov 2023,PROD-002,117
07 Nov 2023,PROD-002,148
08 Nov 2023,PROD-002,143
09 Nov 2023,PROD-002,189
10 Nov 2023,PROD-002,202
11 Nov 2023,PROD-002,227
12 Nov 2023,PROD-002,190
13 Nov 2023,PROD-002,121
14 Nov 2023,PROD-002,152
15 Nov 2023,PROD-002,169
16 Nov 2023,PROD-002,141
17 Nov 2023,PROD-002,198
18 Nov 2023,PROD-002,196
19 Nov 2023,PROD-002,170
20 Nov 2023,PROD-002,146
21 Nov 2023,PROD-002,168
22 Nov 2023,PROD-002,186
23 Nov 2023,PROD-002,216
24 Nov 2023,PROD-002,198
25 Nov 2023,PROD-002,771
26 Nov 2023,PROD-002,592
27 Nov 2023,PROD-002,359
28 Nov 2023,PROD-002,781
29 Nov 2023,PROD-002,141
30 Nov 2023,PROD-002,176
01 Dec 2023,PROD-002,182
02 Dec 2023,PROD-002,191
03 Dec 2023,PROD-002,196
04 Dec 2023,PROD-002,127
05 Dec 2023,PROD-002,138
06 Dec 2023,PROD-002,136
07 Dec 2023,PROD-002,171
08 Dec 2023,PROD-002,161
09 Dec 2023,PROD-002,237
10 Dec 2023,PROD-002,140
11 Dec 2023,PROD-002,160
12 Dec 2023,PROD-002,164
13 Dec 2023,PROD-002,159
14 Dec 2023,PROD-002,152
15 Dec 2023,PROD-002,193
16 Dec 2023,PROD-002,201
17 Dec 2023,PROD-002,236
18 Dec 2023,PROD-002,166
19 Dec 2023,PROD-002,196
20 Dec 2023,PROD-002,311
21 Dec 2023,PROD-002,289
22 Dec 2023,PROD-002,306
23 Dec 2023,PROD-002,234
24 Dec 2023,PROD-002,184
25 Dec 2023,PROD-002,147
26 Dec 2023,PROD-002,164
27 Dec 2023,PROD-002,158
28 Dec 2023,PROD-002,161
29 Dec 2023,PROD-002,192
30 Dec 2023,PROD-002,191
31 Dec 2023,PROD-002,163
01 Jan 2023,PROD-003,134
02 Jan 2023,PROD-003,92
03 Jan 2023,PROD-003,124
04 Jan 2023,PROD-003,99
05 Jan 2023,PROD-003,132
06 Jan 2023,PROD-003,144
07 Jan 2023,PROD-003,153
08 Jan 2023,PROD-003,145
09 Jan 2023,PROD-003,119
10 Jan 2023,PROD-003,132
11 Jan 2023,PROD-003,97
12 Jan 2023,PROD-003,104
13 Jan 2023,PROD-003,129
14 Jan 2023,PROD-003,150
15 Jan 2023,PROD-003,138
16 Jan 2023,PROD-003,94
17 Jan 2023,PROD-003,122
18 Jan 2023,PROD-003,111
19 Jan 2023,PROD-003,112
20 Jan 2023,PROD-003,118
21 Jan 2023,PROD-003,136
22 Jan 2023,PROD-003,114
23 Jan 2023,PROD-003,92
24 Jan 2023,PROD-003,132
25 Jan 2023,PROD-003,108
26 Jan 2023,PROD-003,151
27 Jan 2023,PROD-003,145
28 Jan 2023,PROD-003,153
29 Jan 2023,PROD-003,120
30 Jan 2023,PROD-003,109
31 Jan 2023,PROD-003,113
01 Feb 2023,PROD-003,121
02 Feb 2023,PROD-003,151
03 Feb 2023,PROD-003,137
04 Feb 2023,PROD-003,167
05 Feb 2023,PROD-003,123
06 Feb 2023,PROD-003,101
07 Feb 2023,PROD-003,170
08 Feb 2023,PROD-003,135
09 Feb 2023,PROD-003,170
10 Feb 2023,PROD-003,222
11 Feb 2023,PROD-003,191
12 Feb 2023,PROD-003,168
13 Feb 2023,PROD-003,117
14 Feb 2023,PROD-003,115
15 Feb 2023,PROD-003,101
16 Feb 2023,PROD-003,111
17 Feb 2023,PROD-003,135
18 Feb 2023,PROD-003,149
19 Feb 2023,PROD-003,140
20 Feb 2023,PROD-003,104
21 Feb 2023,PROD-003,104
22 Feb 2023,PROD-003,125
23 Feb 2023,PROD-003,127
24 Feb 2023,PROD-003,146
25 Feb 2023,PROD-003,166
26 Feb 2023,PROD-003,143
27 Feb 2023,PROD-003,107
28 Feb 2023,PROD-003,119
01 Mar 2023,PROD-003,251
02 Mar 2023,PROD-003,314
03 Mar 2023,PROD-003,353
04 Mar 2023,PROD-003,387
05 Mar 2023,PROD-003,289
06 Mar 2023,PROD-003,228
07 Mar 2023,PROD-003,333
08 Mar 2023,PROD-003,300
09 Mar 2023,PROD-003,322
10 Mar 2023,PROD-003,347
11 Mar 2023,PROD-003,378
12 Mar 2023,PROD-003,363
13 Mar 2023,PROD-003,243
14 Mar 2023,PROD-003,304
15 Mar 2023,PROD-003,287
16 Mar 2023,PROD-003,288
17 Mar 2023,PROD-003,336
18 Mar 2023,PROD-003,385
19 Mar 2023,PROD-003,316
20 Mar 2023,PROD-003,288
21 Mar 2023,PROD-003,274
22 Mar 2023,PROD-003,296
23 Mar 2023,PROD-003,288
24 Mar 2023,PROD-003,397
25 Mar 2023,PROD-003,384
26 Mar 2023,PROD-003,366
27 Mar 2023,PROD-003,218
28 Mar 2023,PROD-003,310
29 Mar 2023,PROD-003,394
30 Mar 2023,PROD-003,365
31 Mar 2023,PROD-003,461
01 Apr 2023,PROD-003,465
02 Apr 2023,PROD-003,457
03 Apr 2023,PROD-003,352
04 Apr 2023,PROD-003,297
05 Apr 2023,PROD-003,268
06 Apr 2023,PROD-003,289
07 Apr 2023,PROD-003,299
08 Apr 2023,PROD-003,358
09 Apr 2023,PROD-003,318
